title,stars,comment
"







  
  
    Excelente
  
",5.0 out of 5 stars,"









  
  
    
  Excelente

  
"
"







  
  
    Works well for rosacea skin
  
",5.0 out of 5 stars,"









  
  
    
  I have rosacea and ocular rosacea….mainly the flushing, hot kind.  This really gives me some relief.  Cools your face and eyes down.  I even bought a small one to keep in my purse.  Obviously, it is not a cure, but it does work well to cool your face down and works faster than anything else I have tried so far.  There is no scent.

  
"
"







  
  
    Refreshing
  
",5.0 out of 5 stars,"









  
  
    
  I absolutely love this product. It is so refreshing and leaves your skin feel fresh and ready for lotion.It also works great on hot summer day for a refreshing blast! Will continue to buy.The bottle is big and last awhile.

  
"
"







  
  
    Perfect for sensitive skin
  
",5.0 out of 5 stars,"









  
  
    
  Love it, was recommended by a beautician a long time ago, tried different brands, but this one is the best.

  
"
"







  
  
    Excelente
  
",5.0 out of 5 stars,"









  
  
    
  Excelente

  
"
"







  
  
    Defective Spray Tip
  
",1.0 out of 5 stars,"









  
  
    
  This procdutive will not spray. I have tried removing the tip and cleaning. That isn't the problem, it no longer has any pressure and will not spray. A lot of water left at avery expensive price for water!UPDATE To Previous Review:This is an update to my review. I tried expressing the water without the tip and there is plenty of pressure. I ordered another can of water directly from Avene. I took the new tip from the new can and placed it on the old can. It worked as it should. Therefore, evidently there is a problem with the tips on numerous cans sold by Amazon!!!

  
"
"







  
  
    Nice!
  
",5.0 out of 5 stars,"









  
  
    
  Very soothing and cool

  
"
"







  
    Un muy buen producto
  
  
",5.0 out of 5 stars,"









  
    
  Me encanta cuando preparo mi piel para el maquillaje o simplemente para refrescar mu rostro

  
  
"
"







  
  
    Comfortable
  
",5.0 out of 5 stars,"









  
  
    
  Extra fine mist and good for sensitive skin.

  
"
"







  
  
    Best for your face
  
",5.0 out of 5 stars,"









  
  
    
  I’ve been using this spray and all other Avene products for years since I discovered them in France and am excited to find them on Amazon

  
"
"







  
  
    Sprayer clogs
  
",2.0 out of 5 stars,"









  
  
    
  I would have given this 5 stars before but the last few times I have bought it the sprayer gets clogged when the can is more than half full. Just bought the latest one in March, almost a full can’t but use it cause won’t spray!

  
"
"







  
  
    The best you can buy
  
",5.0 out of 5 stars,"









  
  
    
  If you have sensitivity to the skin it comes perfect but so well if you have oily skin and don't want to put on anything else

  
"
"







  
  
    Somehow other waters work better for me
  
",4.0 out of 5 stars,"









  
  
    
  Avene has great spraying bottle that distributes water well. But for some reason la Roche and Vichy work better on my very difficult skin. I still like this water, helps moisturize my normally-very-oily-but-extra-dry-during-the-wintertime skin, but I will go back to la Roche next time

  
"
"







  
  
    worst i have ever use
  
",1.0 out of 5 stars,"









  
  
    
  worst. like a just water. Don’t waste your money and this item not refundable. I don’t like this whole thing.

  
"
"







  
  
    Overpriced
  
",5.0 out of 5 stars,"









  
  
    
  Essentially, a good product.

  
"
"







  
  
    Instant relief!
  
",5.0 out of 5 stars,"









  
  
    
  Instantly reduces redness on contact. This is my 2nd bottle (I got my first at the plastic surgeon’s office) and I’m thrilled. I use am and pm on clean skin before and after moisturizer, and whenever I need it throughout the day. Very impressive product. After a peel or dermabrasion it’s instantly  soothing.

  
"
"







  
  
    Great for eczema, acne, rosacea
  
",5.0 out of 5 stars,"









  
  
    
  I have very sensitive skin that reacts to many different things. It is acne-prone with eczema and rosacea, and I have to be very careful with what I use on my skin and watch what I eat, otherwise my skin will have outbreaks very easily. It reacts to numerous skin care products, it breaks out after eating lots of sugary food, and I can only use free and gentle laundry detergent.Avene doesn't give skin any fancy benefits such as moisturizing or anti-aging, but it calms down and stabilizes my skin condition. Since I started using Avene, rosacea has been much better. My face looks less reddish and way less bumpy. When I have an occasional breakout, I saturate cotton pads with Avene and keep them on my face for a while, and my skin feels better the next day. Avene is just water and I was skeptical in the beginning but now I highly recommend it to people with sensitive skin.

  
"
"







  
  
    Best product after laser procedure
  
",5.0 out of 5 stars,"









  
  
    
  Refreshing and does not irritate

  
"
"







  
  
    A must!!
  
",5.0 out of 5 stars,"









  
  
    
  I love this product!!

  
"
"







  
  
    Heaven in a can
  
",5.0 out of 5 stars,"









  
  
    
  Necessary, especially in the heat of summer. I use this daily multiple times.

  
"
"







  
  
    Great product!!
  
",5.0 out of 5 stars,"









  
  
    
  I truly love this bottle of water.  I wish I didn’t love it, because it’s kind of expensive. But I DO love it, and I keep buying it, because it’s absolutely great.I was first introduced to it on a 13 hour flight to Asia, by the flight attendant in business class. She noticed me using a washcloth.  She came over and gave me a quick spray from her bottle, and remarkably, it felt great and made the flight better.  After that, I bought my own bottle. I felt foolish, spending money on French water.  But I absolutely do not regret buying it. And since then I restock more frequently than I would like to admit. In fact, to garner favor, I buy the small bottles and give them to flight attendants for their own personal use when I fly long-haul overseas. I believe in paying it forward, and this is one small way I can help.Not that it matters much, but I’m male, and there’s really no body products I use regularly.  I have a lousy old rusty razor blade, a generic store toothbrush, cheap bar soap and shampoo. EXCEPT THIS - I absolutely pay for it, And I don’t regret one penny of it. I don’t think I can speak highly enough about this product. It baffles my mind how crazy that is, considering it’s just a spray of water. But it truly makes me feel better.Highly recommend. Get yourself a bottle, enjoy, and don’t look back.

  
"
"







  
  
    Not happy with larger size sprayer broke after 5 uses
  
",1.0 out of 5 stars,"









  
  
    
  Used product about 5 times and sprayer stopped working.  I bought the travel size and the larger size and only the travel size works so far.

  
"
"







  
  
    My go to!
  
",5.0 out of 5 stars,"









  
  
    
  I am always stocking on this bottle! 100% great for sensitive skin which gives instant relief in the morning, throughout the day, and night whenever I need it! I use this instead of a facial toner and pat dry with a serum that contains hydraulic acid. Love this!

  
"
"







  
    No muy bueno para mi cutis
  
  
",1.0 out of 5 stars,"









  
    
  No me deja el cutis suave

  
  
"
"







  
  
    Fine Mist
  
",5.0 out of 5 stars,"









  
  
    
  No sputters or drips, just a nice light mist to hydrate the face.  With other labels, there might be a pronounced smell that can put you off.  The product is in a generous container, of quality, reasonable price and the spray functions perfectly.

  
"
"







  
  
    Last half of bottle wouldn't spray out
  
",1.0 out of 5 stars,"









  
  
    
  Wasn't able to get the last half of the contents of the bottle to spray.  Either the propellant was faulty, or the nozzle got clogged from the inside. I couldn't see a clog from the outside.  I believe it was the propellant, because it just gradually lost pressure.  Very unhappy that I wasn't able to use the last half of the bottle.

  
"
"







  
  
    Refreshing
  
",5.0 out of 5 stars,"









  
  
    
  This has been added to my skin care fountains and I’ve seen an improvement in redness and drying.

  
"
"







  
  
    A must for a midday refresher
  
",5.0 out of 5 stars,"









  
  
    
  No smell -love thatEven spray-not messy or drippy

  
"
"







  
  
    Love it
  
",5.0 out of 5 stars,"









  
  
    
  Originally had this recommended by my dermatologist, truly helps with healing of incisions & dry patches

  
"
"







  
  
    Excellent for Eczema
  
",5.0 out of 5 stars,"









  
  
    
  I would give it 10 stars if I could. This is the best product to use if you have sensitive skin!  It literally calms any itchy irritations/eczema flare ups immediately!  My friend had some reactions on her face and nothing helped including ice and Benadryl, until I introduced her to this spray.  Now she keeps a bottle on her desk all the time.

  
"
"







  
  
    A wonderful product
  
",5.0 out of 5 stars,"









  
  
    
  Refreshing, cooling, moisturizing!  A great product!

  
"
"







  
  
    Love this for my sensitive skin
  
",5.0 out of 5 stars,"









  
  
    
  Love this product! I have been using it for 1year now. I have Sensitive skin when it comes to extreme heat, really dry climate, the sun. This product when applying it to my face really helps calm my skin and feels refreshed when applied.

  
"
"







  
  
    I don't know how and I don't know why , but this gave me terrible acne....
  
",1.0 out of 5 stars,"









  
  
    
  I know this may come off as a fake review, because how one Earth can water give you acne? That's what I thought too. But my face was full of inflamed blackheads, little pustules everywhere, and even a few cysts. They would appear like magic over night. I was at a loss and desperate; I changed my diet, changed my pillow cases, cut out supplements and skin care products one by one. This was one of the last products I eliminated,because, well, it's WATER, but as soon as I did, I stopped breaking out and my face is finally healing. Maybe it was contaminated?

  
"
"







  
  
    Miracle Mist!
  
",5.0 out of 5 stars,"









  
  
    
  I absolutely love this spray. I keep it in my refrigerator to keep it cool. I use it as a refreshing facial mist and to set my makeup.

  
"
"







  
  
    Would be great… if the nozzle worked
  
",1.0 out of 5 stars,"









  
  
    
  I was able to use it once but now the nozzle no longer works. It was a great product upon first use but now I cannot return it because it’s a beauty related item. Very disappointed as this would have been helpful for my sensitive and irritated skin.

  
"
"







  
  
    The spray head is not working and this is not returnable
  
",1.0 out of 5 stars,"









  
  
    
  This is very annoying- the spray head is not working and this item is not returnable

  
"
"







  
  
    If you know you know
  
",5.0 out of 5 stars,"









  
  
    
  Listen. Everything that needs to be said about this product has already been said but let me say this: I have this on a subscription. I always have at least two bottles in the house just in case.My skin was once a barren wasteland, dry and cracked and PAINFUL. I could've scrubbed pans with my forehead like a brillo pad.But this stuff??? THIS STUFF???My face is now as soft as a cherub's butt. Moisturizer takes much better, I'm always soft and smooth in the face and people actually compliment me on my skin.And listen, I have a super moisturizing routine. All hydration topped off with raw vitamin e oil. I've used other face mists and sprays. None even get CLOSE to what this does, okay? Don't accept substitutions.

  
"
"







  
  
    Fake
  
",1.0 out of 5 stars,"









  
  
    
  Could not eject spray out of can

  
"
