title,stars,comment
"







  
    Brume eau visage
  
  
",5.0 out of 5 stars,"









  
    
  Conforme à mes attentes

  
  
"
"







  
  
    did not spray
  
",1.0 out of 5 stars,"









  
  
    
  I was really looking forward to this however the bottle did not spray/vaporize. Only tiny water droplets came out :(((

  
"
"







  
  
    Smells bad
  
",3.0 out of 5 stars,"









  
  
    
  Smells bad like sulfur-ish. Bottle looks old & banged up. I feel like I paid too much for this product. I don’t wash my face in the morning. I rather use a cotton pad & swipe a hydrating toner, rose water, etc. to clean my face & pre it for my morning skin care & sunscreen. It’s gentle, does not irritate my eyes or anything. I rather go back to my rose water for the scent alone. That does not irritate my eyes either. Will not repurchase.

  
"
"







  
  
    the product looks terrible
  
",1.0 out of 5 stars,"









  
  
    
  the bottle of the spry was dirty, dented, scratched up, dusty.i dont think i will use this spry on my skin.the sad is i cannot return it, because it flammable

  
"
"







  
  
    Biodermar Hydrabio mist
  
",1.0 out of 5 stars,"









  
  
    
  Its looks like the old bottle ❌❌I'm very disappointed with this order from amazon. Never buy cosmetics on amazon again

  
"
"







  
    Bien
  
  
",5.0 out of 5 stars,"









  
    
  Bien Produit conforme à la photo Je recommande

  
  
"
"







  
  
    good product
  
",5.0 out of 5 stars,"









  
  
    
  good product. It helped with my sensitive skin

  
"
"







  
  
    Super hydration
  
",5.0 out of 5 stars,"









  
  
    
  I love this product super hydration and great value..

  
"
"







  
  
    So refreshing
  
",5.0 out of 5 stars,"









  
  
    
  Bought this specifically to wet my skin between layers or skincare products. I absolutely love it for that. The spray evenly distributes the product and it feels so refreshing on the face.  I would definitely purchase this again!

  
"
"







  
  
    😊😊😊
  
",5.0 out of 5 stars,"









  
  
    
  😊😊😊

  
"
"







  
  
    Love the sparyer
  
",5.0 out of 5 stars,"









  
  
    
  Wonderful spray pump after hydroponic acid serum

  
"
"







  
  
    Refreshing
  
",5.0 out of 5 stars,"









  
  
    
  So refreshing!!! It’s a great way to freshen up your face during the day.

  
"
"







  
  
    Good
  
",5.0 out of 5 stars,"









  
  
    
  Good

  
"
"







  
  
    Super hydrating
  
",5.0 out of 5 stars,"









  
  
    
  Love this!!

  
"
"







  
  
    The Jury is Out
  
",1.0 out of 5 stars,"









  
  
    
  Hmmm... not sure what I think because I haven’t brought myself to use it yet. Ordered as a facial mist to set my makeup after seeing a YouTuber recommend it for the same. Was shocked when the product arrived—dirty, dented, scratched up, dusty. It looked like it had been through an ordeal, lol. I haven’t had the time to return, so it’s still sitting on my bathroom shelf until I have the courage to use.

  
"
"







  
  
    Never buy again
  
",1.0 out of 5 stars,"









  
  
    
  Just received it today .. it's terrible

  
"
"







  
  
    Must have for dry skin!
  
",5.0 out of 5 stars,"









  
  
    
  Must have for dry skin! I love spritzing my face when it feels dry. I reccomend covering you hair and clothes when spraying your face...its a very wet spray.

  
"
"







  
  
    Can is broken
  
",1.0 out of 5 stars,"









  
  
    
  Can came defected from seller.

  
"
"







  
    HYDRABIO Brume 300ml |
  
  
",5.0 out of 5 stars,"









  
    
  TRES AGREABLE, FRAIS. AVANT ET APRES LE MAQUILLAGE POUR LE FIXER. HYDRATANT.

  
  
"
"







  
    Achat recommandé
  
  
",5.0 out of 5 stars,"









  
    
  Produit de bonne qualité, frais.

  
  
"
"







  
  
    They might sell used products!
  
",1.0 out of 5 stars,"









  
  
    
  Firstly, where's the bottle cap? The next thing is I wonder if some of the bottles you sold are old and used. First time I ordered this, my bottle was so light! It was likely to be half of the amount but I tried to tell myself that it might be my weird inner feeling. But when I hold the new bottle, I know I was right! The new one is much heavier and full (but there is no bottle cap!?!). Please explain this!

  
"
"







  
  
    Don’t buy!
  
",1.0 out of 5 stars,"









  
  
    
  Not impressed! I would not purchase again..

  
"
