title,stars,comment
"







  
  
    It's worth it!
  
",5.0 out of 5 stars,"









  
  
    
  Soft, soothing and moisturizing. It's definitely worth the money. I think this mist will work great if used before applying makeup!

  
"
"







  
  
    Five Stars
  
",5.0 out of 5 stars,"









  
  
    
  This one is perfect for me. I love it. Very comfortable and smoothly. Good function for red face

  
"
"







  
  
    terrible spry
  
",2.0 out of 5 stars,"









  
  
    
  the water is salty, and it made me break out like crazy, do not purchase this.However the shipping is super fast so I gave it 2 star, but the product is bad.

  
"
"







  
  
    I have not felt my face either dry or oily as it was always like that!
  
",5.0 out of 5 stars,"









  
  
    
  I cannot believe how much my skin have improved after using this for only a week.I have not felt my face either dry or oily as it was always like that!

  
"
"







  
  
    Five Stars
  
",5.0 out of 5 stars,"









  
  
    
  Love this thermal water. The best one available.

  
"
"







  
  
    They work great for setting makeup and cooling a flushed face
  
",4.0 out of 5 stars,"









  
  
    
  We've tried most of the thermal water brands her on Amazon. They work great for setting makeup and cooling a flushed face. This one was actually our least favourite among the three we tried, the spray was not as gentle and someone commented it had more of a smell than the other brands. Nothing really wrong with the product itself, we just prefer the La Roche Posay and the Eau Thermale Avene over this brand.

  
"
"







  
  
    I love this spray it's flash and moisture
  
",3.0 out of 5 stars,"









  
  
    
  I love this spray it's flash and moisture, three star due to shipping. Nothing wrong with the product. When I purchased it shows three was in stock, after I made the order it shows one in stock. So which means I should get it within two days. But it takes about a week to be delivered.

  
"
"







  
  
    lovit
  
",5.0 out of 5 stars,"









  
  
    
  always right

  
"
"







  
    Perfetto
  
  
",5.0 out of 5 stars,"









  
    
  Da quando lavo il viso con questa acqua, la mia pelle è più viva e idratata! È molto rinfrescante! Questa estate non so come avrei potuto fare senza!

  
  
"
"







  
  
    Five Stars
  
",5.0 out of 5 stars,"









  
  
    
  I love it!

  
"
"







  
  
    Five Stars
  
",5.0 out of 5 stars,"









  
  
    
  Excellent product I will order more. My wife needs it. 1-300ml spray every 3 weeks

  
"
"







  
  
    Love the product !
  
",5.0 out of 5 stars,"









  
  
    
  Great product ! much better then LRP water. Taste salty but it's because it's an isotonic product. Love it ! definitely repurchase in future

  
"
"







  
    Ottimo rapporto qualità prezzo
  
  
",4.0 out of 5 stars,"









  
    
  L'ordine è arrivato nei tempi stabiliti, molto grande, nn ha profumazione, rinfresca e rimineralizza, ma nn ha potere idratante, anzi asciugando lascia la pelle secca.

  
  
"
"







  
    Buonissima!
  
  
",5.0 out of 5 stars,"









  
    
  È la prima acqua termale che provo e mi piace tantissimo. Si asciuga subito e lascia la pelle luminosa ed idratata. La consiglio!!

  
  
"
"







  
    Ottima acqua termale. ottimo spray. Azione rinfrescante e lenitiva.
  
  
",5.0 out of 5 stars,"









  
    
  Compro quest'acqua termale per mio marito che soffre di dermatite seborroica. La utilizza sia sola che in combo con crema lenitiva di Miamo. Ottimo rapporto qualità prezzo per confezione da 300ml. Arrivata nel giorno indicato con servizio prime.

  
  
"
"







  
    Ottimo
  
  
",5.0 out of 5 stars,"









  
    
  Lo tengo in frigo e quest'estate nelle notti più calde l'ho usato da vaporizzare sul viso e collo e ne ho tratto grande beneficio. Rilascia un senso di fresco e la pelle la sento più elastica. Consiglio

  
  
"
"







  
    Un’ottima scoperta. Must have in estate
  
  
",5.0 out of 5 stars,"









  
    
  Un’ottima scoperta. A consigliarmela una make up artist che notava la mia pelle secca e sensibile. Da spruzzare spesso per idratare o per calmare la pelle irritata o quando fa caldo.

  
  
"
"







  
    Ottima
  
  
",5.0 out of 5 stars,"









  
    
  Prodotto consigliato dalla pediatra per rinfrescare le gambe della bimba . Provato anche  su tutta la famiglia e lo trovo eccezionale.

  
  
"
"







  
    Gut und zu empfehlen
  
  
",5.0 out of 5 stars,"









  
    
  Nachdem das Spray von Avene von 7€ auf fast 11€! erhöht wurde (online kostet es z.T. sogar mehr) habe ich mich sofort nach einer Alternative umgeschaut und werde Avene in Zukunft gänzlich meiden. Dieses Spray hat die beruhigende Wirkung von Thermalwasser und lässt sich toll auftragen; der Sprühnebel ist wunderbar erfrischend (ohne das meine Haut gleich klatschnass ist)... Es geht nicht darum was man sich leisten kann sondern was ist einigermaßen angemessen und vertretbar preislich. 7€ für ca. ein Glas Quellwasser samt Lieferung ist geradeso noch annehmbar.. bei mir hält das nämlich ziemlich lange. Es ist eine schöne Erfrischung und tut meiner empfindlichen Haut gut aber es ist definitiv keinMust-have bei dem sich jmd. wie ein Idiot vorkommen muss wenn er an die Kasse geht um dafür 11€ zu bezahlen.

  
  
"
"







  
    Da ricomprare!!!!!!!!
  
  
",5.0 out of 5 stars,"









  
    
  Ottimo prodotto, prezzo formidabile!

  
  
"
"







  
    Freschezza
  
  
",5.0 out of 5 stars,"









  
    
  Fresca e idratante

  
  
"
"







  
    Refrescante
  
  
",3.0 out of 5 stars,"









  
    
  Ideal para después  afeitado.Dura mucho.Negativo: Llegó con pegatina arrugada y el sello de garantía roto. No llegó como para hacer un regalo.

  
  
"
"







  
    Acqua termale
  
  
",5.0 out of 5 stars,"









  
    
  Consegna super veloce. Ottimo prodotto. Grazie

  
  
"
"







  
    La mia acqua termale del cuore
  
  
",5.0 out of 5 stars,"









  
    
  La compro e la ricompro da anni ormai! Lenisce, idrata e rinfresca! Ottima anche pre e post trucco! Qui su Amazon ad un prezzo super

  
  
"
"







  
    Idratante, odore poco piacevole
  
  
",4.0 out of 5 stars,"









  
    
  E’ arrivato veloce, mi piace tanto il suo spruzzo che spruzza pieno e sottile tutta la faccia, che non riesco a fare foto lo spruzzo. L’unica cosa che non mi piace e’ l’odore che mi sembra di medicina, e’ idratante, e il prezzo è’ buono. Consigliato per chi non ha problemi di odore. Spero di esservi utile .

  
  
"
"







  
    Semplice acqua termale
  
  
",5.0 out of 5 stars,"









  
    
  È una semplicissima acqua termale, non ho notato tantissima idratazione ma è perfetta per arrossamenti e prurito

  
  
"
"







  
  
    Clears skin
  
",5.0 out of 5 stars,"









  
  
    
  I can’t tell you how many products I’ve tried over the years for my super sensitive, reactive, acne prone skin. Pretty much everything breaks me out but this must has been a life saver. If I’m diligent about misting my skin with this thermal water at least several times a day, my skin is calm and clear. I have to order a bottle a month but it’s much more affordable then all the other skin care products I’ve tried over the years to clear my acne and more effective. I’ve tried other thermal waters but I think my skin really likes the saltiness if this one (which you can literally taste if you get the mist on your lips). Anyway, if you have acne, give it a try, it’s been the most effective product for me.

  
"
"







  
  
    Excelente producto. Lo recomiendo ampliamente
  
",5.0 out of 5 stars,"









  
  
    
  Excelente producto. Lo recomiendo ampliamente

  
"
"







  
    Acquisto consigliato
  
  
",5.0 out of 5 stars,"









  
    
  Preso a 5,50 euro, non è la prima volta che l'acquisto credo che in assoluto sia l'acqua termale con il miglior qualità prezzo. Io la utizzo per struccarmi o rinfrescarmi d'estate. Acquisto consigliato

  
  
"
"







  
    MUY PRÁCTICO PARA PREPARAR LA PIEL
  
  
",4.0 out of 5 stars,"









  
    
  El formato spray es muy práctico para usar. No huele y es muy humefectante.

  
  
"
"







  
    Top
  
  
",5.0 out of 5 stars,"









  
    
  Se vuoi na ventata di freschezza è  il prodotto che cercavi. Poi è  enorme la conf. E dura tanto....peccato che termina subito nello shop e devi attendere il rifornimento

  
  
"
"







  
    Idratante e lenitiva
  
  
",5.0 out of 5 stars,"









  
    
  Mi piace moltissimo da spruzzare dopo la depilazione o rasatura dato che è lenitiva , anche da spruzzare ogni tanto per ""rinfrescare"" il volto (d'estate soprattutto un must have) o da usare per rendere il viso umido e mettere dopo l'acido ialuronico . Insomma per circa 5€ 300ml è conveniente rispetto ad altre in commercio e la consiglierei dato il prezzo vantaggioso . Risulta un po' ""salata "" , ma nulla di compromettente chiaro!! Consiglio di spruzzare più da lontano per avere effetto nebulizzante

  
  
"
