,stars,text,stopwords,punctuation,numerics,upper,word_count,char_count,avg_word,polarity,subjectivity
0,5, work well rosacea skin rosacea ocular rosaceamainly flush hot kind really give relief tool face eye even bought small one keep purse obviously cure work well cool face work faster anything else try far scent,28,10,0,3,36,208,4.9,0.17857142857142858,0.6428571428571429
1,5, refresh absolutely love refresh leaf skin feel fresh ready lotion work great hot summer day refresh blast continue bustle bottle big last awhile,13,5,0,1,24,145,5.3,0.2928571428571428,0.480952380952381
2,5, perfect sensitive skin love recommend beautician long time ago try different band one best,9,4,0,0,15,91,5.5,0.425,0.6333333333333333
3,1, defective spray tip productive spray try remove tip cleaning isn problem longer pressure spray lot water left very expensive price waterupdate previous reviewthis update review try express water without tip plenty pressure order another water directly avenue take new tip new place old work therefore evidently problem tip numerous can sell amazon,47,16,0,5,53,348,5.7,-0.010437710437710444,0.37063973063973066
4,5, nice soothe cool,1,1,0,0,4,17,4.7,0.475,0.825
5,5, comfortable extra fine mist good sensitive skin,2,1,0,0,8,48,5.9,0.32333333333333336,0.58
6,5, best face give use spray avenue year since discover france excite find amazon,15,0,0,1,14,78,5.0,1.0,0.3
7,2, prayer clot would give star last time bought prayer get flog half full bought late one march almost full can cause wont spray,20,3,1,2,24,126,4.5,0.04666666666666666,0.38666666666666666
8,5, best buy sensitivity skin come perfect well oily skin want put anything else,16,1,0,0,14,77,4.9,1.0,0.65
9,4, somehow water work well avenue great spray bottle distribute water well reason la rise rich work well difficult skin still like water help moisture normally oily extra dry dinnertime skin go back la rise next time,20,4,0,2,37,214,4.9,0.09479166666666668,0.48125
10,1, bad ever bad like water waste money item refundable like whole thing,9,4,0,1,13,69,4.7,-0.3499999999999999,0.43333333333333335
11,5, overprice essentially good,1,2,0,0,4,27,8.0,0.7,0.6000000000000001
12,5, instant relief instantly reduces redness contact nd bottle get first plastic surgeon office thrill pm clean skin moisturizer whenever need throughout day impressive feel dermabrasion instantly soothe,18,9,0,3,28,200,6.4,0.26944444444444443,0.6722222222222222
13,5, great eczema acne rosacea sensitive skin reacts many different thing acne prone eczema rosacea careful skin watch eat otherwise skin outbreak easily reacts numerous skin care break eat lot sugary food free gentle sundry detergentavene doesn give skin fancy benefit moisturize anti rag calm stabilizes skin condition since start use avenue rosacea much well face look less reddish way less bump occasional breakup saturate cotton pad avenue keep face skin feel well next day avenue water skeptically begin highly recommend people sensitive skin,68,19,0,10,84,544,5.6,0.12555555555555561,0.5462037037037036
14,5, best laser procedure refresh irritate,4,0,0,0,6,38,6.6,1.0,0.3
15,5, must love,1,4,0,2,3,10,4.0,0.5,0.6
16,5, heaven necessary especially heat summer daily multiple time,7,3,0,1,9,60,6.5,0.0,0.5
17,5, great truly love bottle water wish didn love kind expensive love keep buying absolutely great first introduce hour flight asia flight attendant business class notice use washcloth come give quick spray bottle remarkably felt great make flight well bought bottle felt foolish spending money french water absolutely regret buying since stock frequently would like admit fact garter favor buy small bottle give flight attendant personal fly long haul overseas believe pay forward one small way helpnot matter much male there really body regularly louse old rusty razor blade genetic store toothbrush cheap bar soap shampoo except absolutely pay regret one penny think speak highly enough baffle mind crazy consider spray water truly make feel betterhighly recommend get bottle enjoy look back,76,41,1,23,122,790,5.5,0.22526881720430114,0.506782464846981
18,1, happy large size prayer broke us use time prayer stop work bought travel size large size travel size work far,11,2,2,1,21,110,4.5,0.33214285714285713,0.7142857142857143
19,5, fine mist shutter drop nice light mist hydrate face label might pronounce smell put generous container quality reasonable price spray function perfectly,18,7,0,0,23,153,6.0,0.5233333333333332,0.76
20,1, last half bottle wouldn spray want able get last half content bottle spray either propellant faulty noble get flog inside couldn see clot outside believe propellant gradually lose pressure unhappy want able last half bottle,32,11,0,3,36,224,5.4,0.04545454545454546,0.34545454545454546
21,5, refresh add skin care mountain give see improvement redness dry,8,1,0,0,11,64,5.4,-0.06666666666666665,0.6
22,5, must midday refresh smell love whatever spray mess grippe,4,0,0,1,10,58,5.4,0.1625,0.38749999999999996
23,5, love originally recommend dermatologist truly help heal incision dry patch,7,2,0,0,11,75,6.5,0.26944444444444443,0.65
24,5, excellent eczema would give star could best sensitive skin literally calm itchy irritationseczema flare up immediately friend reaction face nothing help include ice benadryl introduce spray keep bottle desk time,26,7,1,3,31,212,6.1,0.6000000000000001,0.7375
25,5, wonderful refresh cool moisturize great,0,4,0,2,6,40,7.0,0.7166666666666668,0.7999999999999999
26,5, love sensitive skin love use year sensitive skin come extreme heat really dry climate sun apply face really help calm skin feel refresh apply,20,6,0,2,25,142,4.9,0.1885416666666667,0.69375
27,1, know know give terrible acne know may come face review one earth water give acne that thought face full inflame blockhead little pustule everywhere even cyst would appear like magic night loss desperate change diet change pillow case cut supplement skin care one one one last eliminatedbecause well water soon stop break face finally heal maybe contaminate,46,27,0,10,58,357,5.3,-0.13392857142857142,0.7309523809523809
28,5, miracle mist absolutely love spray keep refrigerator keep cool refresh facial mist set make,12,4,0,3,15,92,5.6,0.2833333333333333,0.4166666666666667
29,1, would great noble work able noble longer work great first can not return beauty related item disappointed would helpful sensitive irritated skin,25,3,0,2,23,145,5.6,0.3222222222222222,0.700925925925926
30,1, spray head work returnable annoy spray head work item returnable,15,0,0,0,11,65,5.5,0.0,0.0
31,5, know know listen everything need say already say let say subscription always least two bottle house case skin barren wasteland dry crack painful could scrubbed pan forehead like bill padbut stuff stuffy face soft chorus butt moisturizer take much well always soft smooth face people actually compliment skinny listen super moisturize routine hydration topped raw vitamin e oil give use face mist spray none even get close okay accept substitution,51,28,0,7,71,447,5.4,0.030536130536130537,0.4571095571095572
32,5, good quality deserve amount money feel fresh,5,2,0,0,8,45,5.4,0.5,0.55
33,5, worth buy bottle package well clear bravery easy press great light mist quick fresh up buy,9,5,0,0,17,91,4.7,0.38095238095238093,0.5380952380952381
34,5, like buy buy buy buy one,3,4,0,2,7,25,3.2,0.0,0.0
35,5, there nothing pure skin printing water thermal spring france must,7,2,0,0,11,66,5.6,0.21428571428571427,0.5
36,5, excellent use year still best,3,2,0,0,6,30,5.0,1.0,0.65
37,5, love love apply eau thermal avenue use body summer time face throughout year,10,3,0,3,14,77,4.9,0.5,0.6
